Timestamp,Wind10,Wind100,Hs,Tp,Current
1979-01-01 01:00:00,16.06,21.68,0.77,3.429222914,0
1979-01-01 02:00:00,15.93,21.51,1.63,4.638037954,0.03
1979-01-01 03:00:00,15.97,21.56,1.95,5.263389425,0.08
1979-01-01 04:00:00,16.03,21.64,2.26,5.820673055,0.37
1979-01-01 05:00:00,16.08,21.71,2.53,6.375687758,0.5
1979-01-01 06:00:00,16.82,22.71,2.57,6.409896211,0.63
1979-01-01 07:00:00,16.72,22.57,2.71,6.660001893,0.7
1979-01-01 08:00:00,16.54,22.33,2.83,6.971019565,0.42
1979-01-01 09:00:00,16.25,21.94,2.88,7.071201464,0.19
1979-01-01 10:00:00,15.92,21.49,2.94,7.141014635,0.07
1979-01-01 11:00:00,15.56,21.01,3.01,7.277673915,0.09
1979-01-01 12:00:00,14.92,20.14,3.05,7.488335156,0.13
1979-01-01 13:00:00,14.07,18.99,3.06,7.596021971,0.11
1979-01-01 14:00:00,13.59,18.35,2.99,7.632324819,0.1
1979-01-01 15:00:00,13.36,18.04,2.88,7.576997882,0.13
1979-01-01 16:00:00,12.99,17.54,2.76,7.433880883,0.17
1979-01-01 17:00:00,12.68,17.12,2.65,7.253588371,0.17
1979-01-01 18:00:00,12.53,16.92,2.56,7.178364681,0.13
1979-01-01 19:00:00,12.79,17.27,2.48,7.167369106,0.08
1979-01-01 20:00:00,12.71,17.16,2.44,7.180459076,0.12
1979-01-01 21:00:00,12.05,16.27,2.41,7.183949734,0.21
1979-01-01 22:00:00,11.49,15.51,2.36,7.163703915,0.29
1979-01-01 23:00:00,10.87,14.67,2.3,7.114834696,0.35
1979-01-02 00:00:00,10.55,14.24,2.22,7.048512184,0.35
1979-01-02 01:00:00,11.22,15.15,2.13,6.985680331,0.29
1979-01-02 02:00:00,11.68,15.77,2.07,6.917263424,0.18
1979-01-02 03:00:00,12.22,16.50,2.08,6.838374542,0.09
1979-01-02 04:00:00,12.51,16.89,2.13,6.772750162,0.18
1979-01-02 05:00:00,12.64,17.06,2.21,6.778335216,0.28
1979-01-02 06:00:00,15.2,20.52,2.28,6.863332751,0.32
1979-01-02 07:00:00,14.82,20.01,2.46,6.948504818,0.3
1979-01-02 08:00:00,14.4,19.44,2.64,7.062300285,0.24
1979-01-02 09:00:00,14.25,19.24,2.69,7.185345998,0.17
1979-01-02 10:00:00,14.07,18.99,2.69,7.270518065,0.11
1979-01-02 11:00:00,13.84,18.68,2.68,7.2982688,0.11
1979-01-02 12:00:00,11.95,16.13,2.66,7.278721113,0.12
1979-01-02 13:00:00,11.34,15.31,2.56,7.239102138,0.11
1979-01-02 14:00:00,10.91,14.73,2.41,7.166496442,0.09
1979-01-02 15:00:00,11.49,15.51,2.27,7.072772261,0.09
1979-01-02 16:00:00,12.17,16.43,2.18,6.975382889,0.13
1979-01-02 17:00:00,12.58,16.98,2.14,6.881309642,0.16
1979-01-02 18:00:00,10.93,14.76,2.13,6.798755568,0.16
1979-01-02 19:00:00,10.46,14.12,2.06,6.7565186,0.12
1979-01-02 20:00:00,9.92,13.39,1.93,6.72545174,0.1
